user_id,area,attribute,score
7,approach,ethical_practice,63
2,self,self_leadership,51
9,technology,automation,52
2,self,always_learning,69
4,self,organisation,71
8,self,metacognition,70
8,self,always_learning,96
6,approach,ethical_practice,82
10,self,self_leadership,75
4,technology,automation,72
8,approach,imagination,59
8,self,metacognition,56
8,technology,forward_thinking,66
1,self,organisation,50
1,technology,tooling,57
6,approach,solution_finding,72
5,communication,visual_communications,56
7,communication,visual_communications,74
6,technology,data,96
5,communication,verbal_communications,76
7,technology,tooling,91
6,self,always_learning,54
6,approach,critical_thinking,71
7,approach,imagination,78
8,communication,visual_communications,94
2,communication,collaborative_working,79
8,self,metacognition,78
2,communication,visual_communications,74
1,self,metacognition,99
3,communication,visual_communications,57
1,approach,solution_finding,73
8,self,resilience,98
8,self,always_learning,73
9,self,organisation,81
8,self,always_learning,84
5,technology,online_health,70
3,technology,tooling,100
6,communication,verbal_communications,69
7,technology,online_health,62
1,approach,critical_thinking,54
4,self,self_leadership,50
3,technology,forward_thinking,55
1,approach,solution_finding,50
10,approach,solution_finding,60
2,communication,visual_communications,79
7,self,self_leadership,98
4,approach,imagination,62
8,technology,data,69
9,communication,visual_communications,76
9,technology,forward_thinking,94
9,communication,verbal_communications,80
1,approach,solution_finding,79
4,approach,solution_finding,96
9,communication,verbal_communications,97
5,self,organisation,75
9,communication,collaborative_working,51
7,communication,collaborative_working,65
6,approach,imagination,69
6,self,self_leadership,50
2,self,metacognition,76
2,technology,automation,62
9,self,always_learning,50
2,approach,solution_finding,87
3,self,metacognition,92
4,technology,tooling,56
2,technology,data,94
4,technology,forward_thinking,94
10,approach,solution_finding,94
1,self,resilience,64
1,communication,verbal_communications,63
3,approach,imagination,83
8,technology,tooling,79
9,approach,ethical_practice,68
8,technology,automation,63
10,technology,data,100
9,technology,data,82
9,self,self_leadership,64
3,technology,tooling,66
2,technology,data,57
2,approach,diligence,68
6,communication,empathy,66
7,self,self_leadership,98
10,communication,empathy,50
5,technology,forward_thinking,73
1,communication,empathy,55
1,technology,forward_thinking,99
6,approach,imagination,82
9,self,resilience,72
10,communication,visual_communications,76
9,technology,forward_thinking,54
9,communication,written_communications,67
9,approach,solution_finding,78
7,self,organisation,86
1,approach,ethical_practice,89
6,communication,collaborative_working,78
5,self,always_learning,65
3,approach,ethical_practice,98
5,communication,collaborative_working,64
1,technology,online_health,70
6,communication,empathy,94
3,communication,visual_communications,98
5,technology,tooling,76
1,communication,written_communications,65
8,self,self_leadership,64
7,approach,imagination,53
3,technology,data,99
3,self,metacognition,69
7,self,self_leadership,87
6,communication,collaborative_working,54
2,technology,forward_thinking,74
3,self,organisation,74
1,self,organisation,78
4,self,resilience,97
10,approach,diligence,76
4,approach,diligence,79
3,approach,imagination,100
1,approach,ethical_practice,93
6,approach,solution_finding,60
8,technology,online_health,61
6,approach,solution_finding,62
9,self,metacognition,68
9,communication,visual_communications,99
2,self,metacognition,65
6,approach,imagination,89
8,self,self_leadership,65
6,communication,collaborative_working,72
8,self,resilience,80
9,communication,visual_communications,77
1,approach,diligence,87
7,technology,online_health,68
3,communication,empathy,92
6,communication,written_communications,54
7,technology,online_health,79
3,technology,tooling,87
6,approach,imagination,97
10,self,resilience,81
3,approach,diligence,92
9,self,metacognition,80
9,communication,empathy,53
9,technology,tooling,79
10,self,metacognition,98
2,self,self_leadership,90
10,self,metacognition,79
9,approach,ethical_practice,58
9,approach,critical_thinking,77
9,technology,online_health,91
7,technology,online_health,79
5,communication,verbal_communications,88
5,technology,tooling,69
9,technology,automation,90
8,technology,online_health,82
9,self,metacognition,87
2,communication,collaborative_working,89
6,communication,collaborative_working,88
6,approach,diligence,66
2,self,organisation,83
4,approach,solution_finding,62
2,approach,critical_thinking,79
6,communication,empathy,84
8,self,metacognition,92
6,communication,visual_communications,62
4,technology,online_health,90
6,approach,diligence,67
9,self,always_learning,84
8,self,self_leadership,97
7,self,organisation,62
2,approach,solution_finding,69
6,approach,ethical_practice,86
4,communication,collaborative_working,99
5,approach,solution_finding,55
6,communication,written_communications,52
5,approach,solution_finding,63
9,approach,ethical_practice,61
9,approach,diligence,68
1,technology,forward_thinking,87
3,self,organisation,93
8,technology,forward_thinking,88
10,self,self_leadership,99
7,technology,data,64
2,self,resilience,98
6,approach,diligence,54
6,self,always_learning,81
6,communication,visual_communications,91
10,communication,verbal_communications,57
1,self,resilience,72
1,communication,collaborative_working,92
1,communication,empathy,86
5,approach,ethical_practice,54
2,communication,verbal_communications,72
8,approach,solution_finding,98
1,technology,tooling,52
5,self,organisation,89
10,communication,visual_communications,75
1,approach,imagination,64
9,approach,diligence,55
2,self,always_learning,72
7,technology,tooling,73
3,technology,tooling,94
1,approach,imagination,87
1,communication,collaborative_working,64
7,technology,automation,70
9,approach,imagination,73
7,technology,online_health,78
6,self,resilience,50
4,communication,written_communications,70
5,approach,ethical_practice,92
4,self,metacognition,89
1,technology,automation,88
4,approach,solution_finding,85
7,self,organisation,71
2,approach,critical_thinking,83
8,communication,empathy,81
9,communication,visual_communications,53
4,technology,online_health,64
4,approach,imagination,100
6,approach,ethical_practice,74
4,communication,verbal_communications,76
7,self,organisation,83
5,technology,data,83
5,communication,verbal_communications,76
9,approach,diligence,99
10,technology,data,100
8,technology,data,70
6,technology,data,53
3,self,resilience,61
1,communication,verbal_communications,83
5,approach,diligence,80
6,approach,solution_finding,61
2,approach,solution_finding,72
7,communication,empathy,74
7,approach,ethical_practice,92
10,technology,tooling,79
9,self,metacognition,77
8,technology,forward_thinking,59
7,communication,collaborative_working,82
5,technology,automation,52
9,approach,diligence,68
5,technology,tooling,66
5,technology,automation,89
2,approach,solution_finding,90
6,technology,data,69
10,communication,visual_communications,85
9,self,metacognition,63
6,approach,diligence,79
8,self,metacognition,78
1,self,self_leadership,82
2,approach,critical_thinking,79
